Market successfully initialized: <main.market.SupplyDemandMarket object at 0x000002941114AAF0>
AFTER WORKING: Farmer {'food': 147.0, 'wood': 280, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: Farmer {'food': 147.0, 'wood': 280, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: Farmer {'food': 147.0, 'wood': 280, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: Farmer {'food': 147.0, 'wood': 280, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: Farmer {'food': 147.0, 'wood': 280, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: Farmer {'food': 147.0, 'wood': 280, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: Farmer {'food': 147.0, 'wood': 280, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: Farmer {'food': 147.0, 'wood': 280, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: Farmer {'food': 147.0, 'wood': 280, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: Farmer {'food': 147.0, 'wood': 280, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: Farmer {'food': 147.0, 'wood': 280, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: Farmer {'food': 147.0, 'wood': 280, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: Farmer {'food': 147.0, 'wood': 280, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: Farmer {'food': 147.0, 'wood': 280, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: Farmer {'food': 147.0, 'wood': 280, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: Farmer {'food': 147.0, 'wood': 280, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: Farmer {'food': 147.0, 'wood': 280, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: Farmer {'food': 147.0, 'wood': 280, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: Farmer {'food': 147.0, 'wood': 280, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: Farmer {'food': 147.0, 'wood': 280, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: WoodCutter {'food': 112, 'wood': 20, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: WoodCutter {'food': 112, 'wood': 20, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: WoodCutter {'food': 112, 'wood': 20, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: WoodCutter {'food': 112, 'wood': 20, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: WoodCutter {'food': 112, 'wood': 20, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: WoodCutter {'food': 112, 'wood': 20, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: WoodCutter {'food': 112, 'wood': 20, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: WoodCutter {'food': 112, 'wood': 20, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: WoodCutter {'food': 112, 'wood': 20, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: WoodCutter {'food': 112, 'wood': 20, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: WoodCutter {'food': 112, 'wood': 20, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: WoodCutter {'food': 112, 'wood': 20, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: WoodCutter {'food': 112, 'wood': 20, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: WoodCutter {'food': 112, 'wood': 20, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: WoodCutter {'food': 112, 'wood': 20, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: WoodCutter {'food': 112, 'wood': 20, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: WoodCutter {'food': 112, 'wood': 20, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: WoodCutter {'food': 112, 'wood': 20, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: WoodCutter {'food': 112, 'wood': 20, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: WoodCutter {'food': 112, 'wood': 20, 'ore': 0, 'metal': 0, 'tool': 14.000000000000004}
AFTER WORKING: Miner {'food': 112, 'wood': 0, 'ore': 15, 'metal': 0, 'tool': 20.999999999999996}
AFTER WORKING: Miner {'food': 112, 'wood': 0, 'ore': 15, 'metal': 0, 'tool': 20.999999999999996}
AFTER WORKING: Miner {'food': 112, 'wood': 0, 'ore': 15, 'metal': 0, 'tool': 20.999999999999996}
AFTER WORKING: Miner {'food': 112, 'wood': 0, 'ore': 15, 'metal': 0, 'tool': 20.999999999999996}
AFTER WORKING: Miner {'food': 112, 'wood': 0, 'ore': 15, 'metal': 0, 'tool': 20.999999999999996}
